Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2020,12,Male,17,Left-Handed,154,24,182,0,Car,10,0.704,43,Football (American),,,,,,,24,Same length,8,7,Same length,May,Summer,Yes,No,Pizza/Pasta,Water,History,8,12,7,Yes - broadband connection,In person,12,20,0,2,1,1,2,1,0,1,0,1,0,0,Some,Graduate degree,Rap/Hip hop,Super strength,Healthy,Sports person,"Arts, culture, sports"
USA,CA,2017,11,Male,17,Right-Handed,182,25,,1,Car,10,0.387,42,Athletics,700,650,700,725,600,600,25,Same length,75,72,Ring finger,February,Winter,No,No,Seafood,Water,Computers and technology,5,7,3,Yes - broadband connection,Text messaging,,,,,,,,,,,,,,,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Business person,Health
USA,CA,2016,11,Male,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2018,8,Male,13,Right-Handed,162,25,160,1,Bus,30,0.196,37,Bowling,850,850,850,930,460,460,25,Same length,90,95,Ring finger,February,Winter,No,No,Seafood,Milk,Music,4,4,4,Yes - other,In person,0,0,40,0,3,50,24,3,5,0,5,9,24,24,A lot,Graduate degree,Rock and roll,Invisibility,Happy,,Environment
USA,CA,2012,12,Male,17,Right-Handed,185,27,180,1,Car,15,0.255,24,Walking/Hiking,0,0,0,0,1000,1000,28,Left foot,90,100,Ring finger,January,Summer,No,No,Meat,Water,Mathematics and statistics,6,4,2,Yes - other,Internet chat or instant messaging,4,6,0,0,10,0,0,14,20,15,100,0,0,0,None,Graduate degree,Other,Freeze time,Happy,Other,Education/Youth development
USA,CA,2016,9,Female,14,Right-Handed,,,,2,Car,5,2.04,45,Basketball,866,706,1000,925,134,733,,Same length,,,Ring finger,August,Winter,No,No,Pizza/Pasta,Sports drink,Mathematics and statistics,7,10,4,No internet connection,Text messaging,300,289,24,24,24,24,24,24,24,24,24,24,24,24,Some,Graduate degree,Other,Fly,Healthy,Friend,Health
USA,CA,2017,9,Male,14,Ambidextrous,55,24.1,166,1,Bus,32,0.401,35,Baseball/Softball,0,10,74,11,100,100,27,Same length,60,70,Ring finger,September,Summer,Yes,No,Rice/Noodle dishes,,Music,8,11,5,Yes - dial-up connection,Text messaging,10,75,6,1,2,2,11,0,3,11,0,0,11,1,A lot,Graduate degree,Rap/Hip hop,Fly,Rich,Sports person,International aid
USA,CA,2016,7,Male,13,Right-Handed,152,29,57,2,Car,5,0.3,39,Basketball,1000,1000,1000,1000,1000,1000,25,Same length,5,6,Index finger,May,Summer,No,No,Poultry,Sports drink,Physical education,9,12,4,Yes - other,In person,0,0,10,0,5,1,10,10,10,0,10,5,0,0,Some,Graduate degree,Pop,Freeze time,Rich,Sports person,"Wildlife, animals"
USA,CA,2018,12,Female,18,Right-Handed,165.1,24.76,165.1,2,Car,13,0.381,52,Baseball/Softball,500,450,600,600,300,800,24.13,Left foot,76.2,74.7,Index finger,September,Winter,Yes,No,Breads/Sandwiches,Tea,Music,5,10,6,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",27,20,36,2,3,4,2,9,25,12,48,9,16,1,Some,Graduate degree,Punk rock,Telepathy,Rich,Musician or singer,"Wildlife, animals"
USA,CA,2016,12,Male,17,Right-Handed,67,108,246,2,Car,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2014,10,Female,16,Right-Handed,160,55,64,1,Car,9,50,32,Martial Arts,6,6,6,6,8,8,64,Same length,64,23,Index finger,January,Summer,No,No,Breads/Sandwiches,Tea,Art,5,7,4,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2018,9,Male,15,Right-Handed,20,26,166,3,Car,17,0.49,47,Swimming,1000,942,877,1000,1000,1000,25,Right foot,8,9,Ring finger,August,Summer,No,No,Meat,Water,Mathematics and statistics,9,12,4,Yes - other,Cell phone,7,11,11,1,1,17,4,5,1,1,1,1,3,4,Some,Other,Rap/Hip hop,Invisibility,Happy,Relative,Environment
USA,CA,2015,6,Female,11,Right-Handed,147,18,152,3,Car,20,0.4,41,Basketball,802,513,824,513,989,914,18,Same length,65,60,Index finger,June,Winter,Yes,No,No favorite,Water,Languages,9,10,4,Yes - broadband connection,Text messaging,10,14,3,0,9,7,8,1,1,1,9,2,0,0,Some,Some college,Rap/Hip hop,Fly,Happy,Relative,Environment
USA,CA,2016,12,Female,16,Right-Handed,166,23,169,3,Car,18,0.334,31,Dancing,818,882,781,551,1000,1000,23,Same length,90,96,Ring finger,October,Fall,No,No,Desserts,Water,English,4,11,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,100,20,0,18,0,0,3,10,4,80,2,0,0,A lot,Graduate degree,Pop,Freeze time,Happy,Musician or singer,Education/Youth development
USA,CA,2015,11,Female,17,Right-Handed,129.5,23,67,1,Car,15,0.819,53,Swimming,9000,1000,1000,900,800,800,23,Left foot,5,5,Ring finger,July,Winter,No,No,No favorite,Water,History,9,11,6,No internet connection,Text messaging,11,16,1,3,3,2,1,1,2,2,1,1,0,2,Some,Graduate degree,Pop,Invisibility,Happy,Teacher,International aid
USA,CA,2014,12,Female,17,Right-Handed,168,25.4,64,1,Car,15,0.798,54,Athletics,1000,900,1000,500,600,800,24,Right foot,,80,Index finger,March,Summer,No,No,Fruit,Water,English,8,7,8,Yes - broadband connection,Text messaging,10,30,3,1,5,1,6,0,1,1,3,1,2,0,A lot,Undergraduate degree,Pop,Telepathy,Happy,Musician or singer,International aid
USA,CA,2015,12,Male,16,Left-Handed,170,23.5,177,2,Bus,20,0.461,52,Running/Jogging,1000,1000,1000,1000,600,900,23.5,Same length,80,75,Index finger,July,Winter,Yes,No,Pizza/Pasta,Water,Computers and technology,6,11,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,0,5,1,8,4,0,10,12,20,50,0,0,0,A lot,Graduate degree,Rap/Hip hop,Invisibility,Happy,Friend,Environment
USA,CA,2015,11,Female,17,Left-Handed,160,24,149,2,Car,30,0.928,53,Soccer,98,100,96,100,98,100,,Same length,,,,,,,,,,Languages,600,,8,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2012,12,Female,17,Right-Handed,166,24,161,3,Car,10,0.25,35,Dancing,497,701,591,775,650,725,24,Same length,72,74,Ring finger,April,Spring,Yes,Yes,Rice/Noodle dishes,Water,Art,5,9,4,Yes - broadband connection,In person,10,10,8,2,25,8,2,3,10,10,25,5,0,2,A lot,Graduate degree,Pop,Freeze time,Happy,Musician or singer,"Arts, culture, sports"
